species,lat,lon
Emys orbicularis,38.26,-3.97
Emys orbicularis,38.26,-4.2
Emys orbicularis,38.26,-4.31
Emys orbicularis,38.26,-4.09
Emys orbicularis,38.264668,33.583187
Emys orbicularis,38.269651,35.277319
Emys orbicularis,38.278877,35.369026
Emys orbicularis,38.285425,35.298232
Emys orbicularis,38.286124,35.391719
Emys orbicularis,38.295702,-4.347107
Emys orbicularis,38.296288,35.212231
Emys orbicularis,38.32,-5.8
Emys orbicularis,38.32,-5.8
Emys orbicularis,38.33,-6.77
Emys orbicularis,38.330002,-6.77
Emys orbicularis,38.336982,35.385796
Emys orbicularis,38.34,-4.43
Emys orbicularis,38.34,33.97
Emys orbicularis,38.34,-4.43
Emys orbicularis,38.341045,34.456139
Emys orbicularis,38.349998,-3.74
Emys orbicularis,38.349998,-3.52
Emys orbicularis,38.349998,-3.4
Emys orbicularis,38.349998,-4.32
Emys orbicularis,38.349998,-4.2
Emys orbicularis,38.349998,-4.09
Emys orbicularis,38.349998,-3.97
Emys orbicularis,38.349998,-3.86
Emys orbicularis,38.35,-3.29
Emys orbicularis,38.35,-3.4
Emys orbicularis,38.35,-3.97
Emys orbicularis,38.35,-3.52
Emys orbicularis,38.35,-3.74
Emys orbicularis,38.35,-3.86
Emys orbicularis,38.35,-4.32
Emys orbicularis,38.35,-4.2
Emys orbicularis,38.35,-4.09
Emys orbicularis,38.35128,24.038114
Emys orbicularis,38.354189,34.498289
Emys orbicularis,38.358977,35.221002
Emys orbicularis,38.36,21.27
Emys orbicularis,38.36,21.27
Emys orbicularis,38.36,21.27
Emys orbicularis,38.374945,35.214515
Emys orbicularis,38.37808,35.331638
Emys orbicularis,38.38,35.25
Emys orbicularis,38.381991,35.317811
Emys orbicularis,38.41,-5.92
Emys orbicularis,38.41,35.28
Emys orbicularis,38.41,-5.92
Emys orbicularis,38.419998,-6.77
Emys orbicularis,38.419998,-5.58
Emys orbicularis,38.419998,-5.46
Emys orbicularis,38.42,-5.46
Emys orbicularis,38.42,-5.58
Emys orbicularis,38.42,-6.77
Emys orbicularis,38.421071,-3.298317
Emys orbicularis,38.43,-4.43
Emys orbicularis,38.43,-4.55
Emys orbicularis,38.43,-4.55
Emys orbicularis,38.43,-4.43
Emys orbicularis,38.432613,30.857162
Emys orbicularis,38.432613,30.857162
Emys orbicularis,38.439999,-4.09
Emys orbicularis,38.439999,-3.97
Emys orbicularis,38.439999,-3.86
Emys orbicularis,38.439999,-3.74
Emys orbicularis,38.439999,-3.63
Emys orbicularis,38.44,-3.97
Emys orbicularis,38.44,-3.4
Emys orbicularis,38.44,-3.74
Emys orbicularis,38.44,-3.86
Emys orbicularis,38.44,-3.29
Emys orbicularis,38.44,-3.63
Emys orbicularis,38.44,-4.09
Emys orbicularis,38.475515,23.162998
Emys orbicularis,38.5,-5.81
Emys orbicularis,38.5,-5.81
Emys orbicularis,38.509998,-5.58
Emys orbicularis,38.509998,-5.47
Emys orbicularis,38.51,-5.47
Emys orbicularis,38.51,-5.58
Emys orbicularis,38.52,-4.66
Emys orbicularis,38.52,-4.55
Emys orbicularis,38.52,-4.66
Emys orbicularis,38.52,-4.55
Emys orbicularis,38.529573,-9.155766
Emys orbicularis,38.529999,-3.86
Emys orbicularis,38.529999,-3.63
