scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,29.107677,-81.371741
Trachemys scripta scripta,29.108,-81.372
Trachemys scripta scripta,29.115322,-82.254161
Trachemys scripta scripta,29.115322,-82.25405
Trachemys scripta scripta,29.132631,-81.377238
Trachemys scripta scripta,29.146563,-80.977414
Trachemys scripta scripta,29.180238,-82.065314
Trachemys scripta scripta,29.183481,-81.707687
Trachemys scripta scripta,29.185315,-81.708442
Trachemys scripta scripta,29.190273,-82.133283
Trachemys scripta scripta,29.2024,-82.01667
Trachemys scripta scripta,29.214186,-81.992553
Trachemys scripta scripta,29.229073,-82.039391
Trachemys scripta scripta,29.251803,-100.54024
Trachemys scripta scripta,29.286088,-83.151499
Trachemys scripta scripta,29.286088,-83.151499
Trachemys scripta scripta,29.287974,-81.047246
Trachemys scripta scripta,29.330328,-83.051444
Trachemys scripta scripta,29.333847,-81.732094
Trachemys scripta scripta,29.341071,-83.125999
Trachemys scripta scripta,29.341071,-83.125999
Trachemys scripta scripta,29.341182,-83.126163
Trachemys scripta scripta,29.341182,-83.125992
Trachemys scripta scripta,29.371044,-83.052725
Trachemys scripta scripta,29.39702,-95.001769
Trachemys scripta scripta,29.443328,-98.481362
Trachemys scripta scripta,29.449115,-98.529191
Trachemys scripta scripta,29.449115,-98.529191
Trachemys scripta scripta,29.450385,-98.477051
Trachemys scripta scripta,29.450776,-82.953901
Trachemys scripta scripta,29.45125,-98.211863
Trachemys scripta scripta,29.453656,-98.477608
Trachemys scripta scripta,29.459672,-98.456806
Trachemys scripta scripta,29.460735,-98.477338
Trachemys scripta scripta,29.460742,-98.472887
Trachemys scripta scripta,29.461458,-98.477105
Trachemys scripta scripta,29.461638,-98.476973
Trachemys scripta scripta,29.461734,-98.245236
Trachemys scripta scripta,29.463012,-98.469571
Trachemys scripta scripta,29.4634,-98.469785
Trachemys scripta scripta,29.489043,-82.980357
Trachemys scripta scripta,29.489352,-82.97787
Trachemys scripta scripta,29.508363,-98.377583
Trachemys scripta scripta,29.51021,-98.55901
Trachemys scripta scripta,29.524658,-98.379412
Trachemys scripta scripta,29.530665,-82.305447
Trachemys scripta scripta,29.534858,-98.415531
Trachemys scripta scripta,29.547158,-98.261493
Trachemys scripta scripta,29.55026,-98.27607
Trachemys scripta scripta,29.55026,-98.27607
Trachemys scripta scripta,29.55026,-98.27607
