scientific,decimalLat,decimalLon
Trachemys scripta scripta,29.690135999999999,-82.398927999999998
Trachemys scripta scripta,29.690189000000000,-82.398916999999997
Trachemys scripta scripta,29.690200999999998,-82.398786000000001
Trachemys scripta scripta,29.691462999999999,-82.398413000000005
Trachemys scripta scripta,29.692568999999999,-82.397501000000005
Trachemys scripta scripta,29.692572999999999,-82.397498999999996
Trachemys scripta scripta,29.694504999999999,-82.379262999999995
Trachemys scripta scripta,29.695457999999999,-82.466162999999995
Trachemys scripta scripta,29.695782000000001,-82.345667000000006
Trachemys scripta scripta,29.699314000000001,-95.560654000000000
Trachemys scripta scripta,29.706734999999998,-82.389336999999998
Trachemys scripta scripta,29.707270000000001,-82.394288000000003
Trachemys scripta scripta,29.709222000000000,-82.353224999999995
Trachemys scripta scripta,29.709292000000001,-82.418677000000002
Trachemys scripta scripta,29.712016999999999,-82.392578000000000
Trachemys scripta scripta,29.713528000000000,-95.389951999999994
Trachemys scripta scripta,29.714804000000001,-82.363646000000003
Trachemys scripta scripta,29.715437000000001,-95.389223000000001
Trachemys scripta scripta,29.716125000000002,-82.460449999999994
Trachemys scripta scripta,29.717296999999999,-82.399955000000006
Trachemys scripta scripta,29.717700000000001,-95.390388000000002
Trachemys scripta scripta,29.718467000000000,-82.353804999999994
Trachemys scripta scripta,29.718955999999999,-95.392636999999993
Trachemys scripta scripta,29.719362000000000,-95.392205000000004
Trachemys scripta scripta,29.722915000000000,-82.261773000000005
Trachemys scripta scripta,29.723033000000001,-85.006621999999993
Trachemys scripta scripta,29.724091999999999,-95.340653000000003
Trachemys scripta scripta,29.749572000000001,-82.472854999999996
Trachemys scripta scripta,29.755842000000001,-95.631225999999998
Trachemys scripta scripta,29.759224000000000,-82.425240000000002
Trachemys scripta scripta,29.764367000000000,-95.449333999999993
Trachemys scripta scripta,29.764447000000001,-95.449500000000000
Trachemys scripta scripta,29.764538999999999,-95.449299999999994
Trachemys scripta scripta,29.769324000000001,-85.084244999999996
Trachemys scripta scripta,29.769871999999999,-82.077719000000002
Trachemys scripta scripta,29.789327000000000,-98.727502000000001
Trachemys scripta scripta,29.804470999999999,-95.819789000000000
Trachemys scripta scripta,29.804470999999999,-95.819789000000000
Trachemys scripta scripta,29.804470999999999,-95.819789000000000
Trachemys scripta scripta,29.819444000000001,-84.988056000000000
Trachemys scripta scripta,29.819766999999999,-84.988879999999995
Trachemys scripta scripta,29.824558000000000,-82.652366999999998
Trachemys scripta scripta,29.825489999999999,-95.437635999999998
Trachemys scripta scripta,29.829409999999999,-82.683634999999995
Trachemys scripta scripta,29.830613000000000,-82.682725000000005
Trachemys scripta scripta,29.830980000000000,-82.777466000000004
Trachemys scripta scripta,29.831676000000002,-82.462012000000001
Trachemys scripta scripta,29.831848000000001,-82.681594000000004
Trachemys scripta scripta,29.832998000000000,-82.677672999999999
Trachemys scripta scripta,29.833532000000002,-82.677741999999995
Trachemys scripta scripta,29.836152999999999,-83.046707999999995
Trachemys scripta scripta,29.838919000000001,-82.704487999999998
Trachemys scripta scripta,29.839286999999999,-82.704689000000002
Trachemys scripta scripta,29.852339000000001,-82.611960999999994
Trachemys scripta scripta,29.852760000000000,-82.615015000000000
Trachemys scripta scripta,29.853223000000000,-84.995419999999996
Trachemys scripta scripta,29.864063000000002,-82.737492000000003
Trachemys scripta scripta,29.869606000000001,-97.930279999999996
Trachemys scripta scripta,29.875653000000000,-90.028108000000003
Trachemys scripta scripta,29.880032000000000,-84.840477000000007
Trachemys scripta scripta,29.884046999999999,-85.215967000000006
Trachemys scripta scripta,29.887219000000002,-97.936526000000001
Trachemys scripta scripta,29.891560999999999,-97.931481000000005
