scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,40.658402,-73.965988
Trachemys scripta scripta,40.658393,-73.966027
Trachemys scripta scripta,40.6582,-73.965187
Trachemys scripta scripta,40.658195,-73.96521
Trachemys scripta scripta,40.658183,-73.965102
Trachemys scripta scripta,40.658173,-73.965308
Trachemys scripta scripta,40.65815,-73.96511
Trachemys scripta scripta,40.658118,-73.965082
Trachemys scripta scripta,40.658118,-73.964987
Trachemys scripta scripta,40.658103,-73.966583
Trachemys scripta scripta,40.658097,-73.964988
Trachemys scripta scripta,40.658038,-73.964973
Trachemys scripta scripta,40.658008,-73.96545
Trachemys scripta scripta,40.658002,-73.965073
Trachemys scripta scripta,40.657998,-73.964953
Trachemys scripta scripta,40.657948,-73.965278
Trachemys scripta scripta,40.657795,-73.966724
Trachemys scripta scripta,40.657547,-73.966269
Trachemys scripta scripta,40.657487,-73.965202
Trachemys scripta scripta,40.657456,-73.967088
Trachemys scripta scripta,40.657399,-73.967653
Trachemys scripta scripta,40.657366,-73.966516
Trachemys scripta scripta,40.657288,-73.965953
Trachemys scripta scripta,40.657126,-73.966025
Trachemys scripta scripta,40.657032,-73.966248
Trachemys scripta scripta,40.656712,-73.997703
Trachemys scripta scripta,40.656655,-73.970177
Trachemys scripta scripta,40.656626,-74.000082
Trachemys scripta scripta,40.656532,-73.971458
Trachemys scripta scripta,40.656443,-73.971165
Trachemys scripta scripta,40.656411,-73.966624
Trachemys scripta scripta,40.655976,-73.971583
Trachemys scripta scripta,40.655739,-73.971758
Trachemys scripta scripta,40.6557,-73.971873
Trachemys scripta scripta,40.655682,-73.971843
Trachemys scripta scripta,40.655614,-73.997017
Trachemys scripta scripta,40.655575,-73.997047
Trachemys scripta scripta,40.655538,-73.997071
Trachemys scripta scripta,40.655518,-73.997068
Trachemys scripta scripta,40.655507,-73.996508
Trachemys scripta scripta,40.655472,-73.97181
Trachemys scripta scripta,40.655463,-73.997162
Trachemys scripta scripta,40.655448,-73.997034
Trachemys scripta scripta,40.655442,-73.99643
Trachemys scripta scripta,40.655417,-73.996943
Trachemys scripta scripta,40.655409,-73.997051
Trachemys scripta scripta,40.655318,-73.996548
Trachemys scripta scripta,40.655314,-73.996423
Trachemys scripta scripta,40.655141,-73.96508
Trachemys scripta scripta,40.654999,-73.996001
Trachemys scripta scripta,40.654823,-73.999198
Trachemys scripta scripta,40.654163,-73.998542
Trachemys scripta scripta,40.654059,-73.999281
Trachemys scripta scripta,40.653929,-73.995288
Trachemys scripta scripta,40.653857,-73.999443
Trachemys scripta scripta,40.653745,-73.998587
Trachemys scripta scripta,40.6536,-73.969049
Trachemys scripta scripta,40.653484,-73.999329
Trachemys scripta scripta,40.653477,-73.998577
Trachemys scripta scripta,40.653195,-73.998359
Trachemys scripta scripta,40.652763,-73.971375
Trachemys scripta scripta,40.652168,-73.99012
Trachemys scripta scripta,40.643948,-74.103692
Trachemys scripta scripta,40.628223,-74.09469
Trachemys scripta scripta,40.627916,-73.894712
Trachemys scripta scripta,40.620518,-74.113185
Trachemys scripta scripta,40.620442,-73.823699
Trachemys scripta scripta,40.620382,-73.823437
Trachemys scripta scripta,40.620075,-75.224185
Trachemys scripta scripta,40.61993,-74.112028
Trachemys scripta scripta,40.619726,-74.111644
Trachemys scripta scripta,40.619443,-74.112155
Trachemys scripta scripta,40.616871,-75.368916
Trachemys scripta scripta,40.615227,-81.425887
Trachemys scripta scripta,40.613411,-73.888868
Trachemys scripta scripta,40.605001,-74.157753
Trachemys scripta scripta,40.586849,-74.26136
Trachemys scripta scripta,40.586802,-74.261297
Trachemys scripta scripta,40.583168,-105.105461
Trachemys scripta scripta,40.576641,-105.033245
Trachemys scripta scripta,40.540767,-80.022361
Trachemys scripta scripta,40.49967,-74.248309
Trachemys scripta scripta,40.482777,-74.437211
Trachemys scripta scripta,40.467568,-89.004579
Trachemys scripta scripta,40.466913,-86.142141
Trachemys scripta scripta,40.438098,-74.457851
Trachemys scripta scripta,40.436359,-76.86369
Trachemys scripta scripta,40.36779,-104.689445
Trachemys scripta scripta,40.339956,-75.171667
Trachemys scripta scripta,40.338995,-75.168783
Trachemys scripta scripta,40.338958,-75.169526
